Title,Artist,Tags
Good Love Is On The Way,John Mayer,
Gravity,John Mayer,
I'm Gonna Find Another You,John Mayer,
Ice Ice Baby,Vanilla Ice,
If I Ain't Got You,Scary Pockets,
If You Go Down,Kelsea Ballerini,"Country, 2020s"
Kung Fu Fighting,Carl Douglass,
Life is a Highway,Rascall Flats,90s
Life's a Happy Song,The Muppets,
Livin' on a Prayer,Bon Jovi,"Rock, 80s"
Low Rider,War,
Play That Funky Music,Wild Cherry,
Revolution,The Beatles,
Shake a Tail Feather,Ray Charles,Soul
Shower the People,James Taylor,
Something Stupid,Frank Sinatra,"Duet, 60s"
The Love You Save,Jackson 5,Soul
The Heartburn Song,Lawrence,
The Lion Sleeps Tonight,Billy Eichner,
The Story,Brandi Carlile,Country
Time Warp,The Rocky Horror Picture Show,"Showtunes, 80s, Halloween"
Together,Tom Tuena,Aussie
Tonight You Belong to Me,Patience and Prudence,
Up on the Roof,Justin Timberlake,
What's Up?,4 Non Blondes,"Bangers, 90s"
Wherever Is Your Heart I Call Home,Brandi Carlile,Country
You're The One That I Want,John Travolta,Showtunes
You're Welcome,Moana,
