Title,Artist,Tags
1001 (Parking Inspector),The Cat Empire,Aussie
1999,Prince,80s
24,Switchfoot,
24K Magic,Bruno Mars,00s
40,U2,80s
9 to 5,Dolly Parton,"Country, 80s"
A Message,Coldplay,90s
A Whole New World,Disney (Aladdin),"Duet, 90s"
Adventure of a Lifetime,Coldplay,00s
Africa,Toto,"80s, Bangers"
Ain't No Sunshine,Bill Withers,70s
Ain't Nobody,Chaka Khan,80s
Alaska,Maggie Rogers,2010s
Albertine,Brooke Fraser,
Alexander Hamilton,Hamilton; Lin Manuel Miranda,"Showtunes, 2010s"
All Along the Watchtower,Bob Dylan,60s
All I Want For Christmas Is You,Mariah Carey,Christmas
All Is Found,Disney (Frozen 2); Kacey Musgraves,
All Shook Up,Elvis Presley,50s
All The Small Things,Blink 182,00s
All You Need is Love,The Beatles,60s
All your Favourite Bands,Dawes,
Always,Switchfoot,
Amazing Grace,John Newton,
Ana's Song,silverchair,Aussie
Angel,Sarah McLaughlan,
Angel is a Centerfold,J. Geils Band,
Arms,The Paper Kites,Aussie
Arms Unfolding,dodie,
As,Stevie Wonder,
At the Hop,Danny and the Juniors,
Babylon,David Gray,
Back in the U.S.S.R.,The Beatles,
Back Pocket,Vulfpeck,
Bam Bam,Sister Nancy,
Banana Pancakes,Jack Johnson,
Be My Escape,Relient K,
Be Prepared,Disney (The Lion King),Duet
Beat It,Michael Jackson,
Beautiful Day,U2,
Before He Cheats,Carrie Underwood,"Country, Classic"
Best Friend,Queen,
Better Together,Jack Johnson,
Betterman,Pearl Jam,
Beyond,Leon Bridges,
Beyond the Sea,Bobby Darin,
Black Horse and A Cherry Tree,KT Tunstall,
Blackbird,The Beatles,
Blank Space,Taylor Swift,
Bloom,The Paper Kites,Aussie
Blue Suede Shoes,Elvis Presley,
Bohemian Rhapsody,Queen,Bangers
Bold As Love,Jimi Hendrix,
Boo'd Up,Ella Mai,
Born and Raised,John Mayer,
Born to Run,Bruce Springsteen,Bangers
Boy in the Bubble,Paul Simon,Bangers
Brothers in Arms,Dire Straits,
Brown Eyed Lover,Allen Stone,
Burn,Hamilton; Lin Manuel Miranda,Showtunes
Burn For You,John Farnham,
Burn Your Name,Powderfinger,Aussie
Burning Love,Elvis Presley,
Cabaret,Cabaret; Liza Minelli,Showtunes
Call me Maybe,Carly Rae Jepsen,
Can You Feel the Love Tonight,Disney (The Lion King),Duet
Can't Help Falling In Love,Elvis Presley,
Can't Stop The Feeling,Justin Timberlake,
Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,
Canned Heat,Jamiroquai,
Castle on the Hill,Ed Sheeran,
Cecilia,Simon & Garfunkel,
Chain of Fools,Aretha Franklin,Soul
Champagne Supernova,Oasis,
Chandelier,Sia,
Cherry Cherry,Neil Diamond,
