Title,Artist,Tags,Cover
40,U2,80s,https://i.scdn.co/image/ab67616d0000b273ab282af9bbff8b79516d8cbe
1001,The Cat Empire,Aussie,https://i.scdn.co/image/ab67616d00001e02812f9086351d72d5ac9f2343
1985,Bowling For Soup,2000s,https://i.scdn.co/image/ab67616d0000b273e9c361da971c6e81b51ef06b
1999,Prince,80s,https://i.scdn.co/image/ab67616d0000b273337c5517a9a62e0c3f17d59f
24K Magic,Bruno Mars,00s,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
9 to 5,Dolly Parton,"Country, 80s",https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec
99 Red Balloons,Nena,"80s, 2000s",https://i.scdn.co/image/ab67616d0000b273e585ee5565aca0a4abaa326d
A Message,Coldplay,90s,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651
A Thousand Miles,Vanessa Carlton,90s,https://i.scdn.co/image/ab67616d0000b27384bb2b1e87d5ba0bac8871a2
A Whole New World,Disney (Aladdin),"Duet, 90s",https://i.scdn.co/image/ab67616d0000b27340d7b77428b2ec6dc7424f1c
About Damn Time,Lizzo,Pop,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04
Adventure of a Lifetime,Coldplay,00s,https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6
Africa,Toto,"80s, Bangers",https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b
Again,Lenny Kravitz,,https://i.scdn.co/image/ab67616d0000b27381bb674330f0276e88bd0722
Ain't No Mountainhigh Enough,Marvin Gaye; Tammy Terrell,60s,https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e
Ain't No Sunshine,Bill Withers,70s,https://i.scdn.co/image/ab67616d0000b2732233e28dd921fd87e527f3cf
Ain't Nobody,Chaka Khan,80s,https://i.scdn.co/image/ab67616d0000b273590cdfb21e05bd277b432477
Alabama Pines,Jason Isbell,Country,https://i.scdn.co/image/ab67616d0000b27370e60f739259aef3425486f9
Alaska,Maggie Rogers,2010s,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da
Albertine,Brooke Fraser,,https://i.scdn.co/image/ab67616d0000b273515aedb12b5ebe66ec202bb7
Alexanderhamilton,Hamilton,"Showtunes, 2010s",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540
