Title,Artist,Tags,Cover
40,U2,80s,https://i.scdn.co/image/ab67616d0000b273ab282af9bbff8b79516d8cbe
1001,The Cat Empire,Aussie,https://i.scdn.co/image/ab67616d00001e02812f9086351d72d5ac9f2343
Enough,Marvin Gaye; Tammy Terrell,60s,https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e
Ain't No Sunshine,Bill Withers,70s,https://i.scdn.co/image/ab67616d0000b2732233e28dd921fd87e527f3cf
Ain't Nobody,Chaka Khan,80s,https://i.scdn.co/image/ab67616d0000b273590cdfb21e05bd277b432477
Alabama Pines,Jason Isbell,Country,https://i.scdn.co/image/ab67616d0000b27370e60f739259aef3425486f9
Alaska,Maggie Rogers,2010s,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da
Albertine,Brooke Fraser,,https://i.scdn.co/image/ab67616d0000b273515aedb12b5ebe66ec202bb7
Alexander Hamilton,Hamilton,"Showtunes, 2010s",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540
Alive,Pearl Jam,Rock,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864
All Along the Watchtower,Bob Dylan,60s,https://i.scdn.co/image/ab67616d0000b27381efb7dfa40bbfa10a199e38
